Location_ID,DBA Name,Street_Address,City,State,Zip_Code,latitude,longitude
0000024-02-999,EASTMAN KODAK CO,343 STATE ST,ROCHESTER,NY,14650, -77.619328871999983,43.161256430000037
0000028-02-001,3101 LAGUNA APTS,3101 LAGUNA ST,San Francisco,CA,94123, -122.43098240099999,37.799812804000055
0000052-01-001,IDEAL NOVAK CORP,8 MENDOSA AVE,San Francisco,CA,94116, -122.46501273999996,37.748928039000077
0000071-01-001,TOURNAHU ARMS,1842 JEFFERSON ST,San Francisco,CA,94123, -122.44277254899998,37.804797575000066
0000071-02-001,3301 BRODERICK APARTMENTS,3301 BRODERICK ST,San Francisco,CA,94123, -122.44477290999998,37.80085332
0000071-02-003,3301 BRODERICK APARTMENTS,3301 BRODERICK ST,San Francisco,CA,94123, -122.44477290999998,37.80085332
0000071-03-001,1840-42 JEFFERSON ST,1840-42 JEFFERSON ST,San Francisco,CA,94109, -122.42004887399997,37.791538875000072
0000086-01-001,1601 GRANT APTS,1601 GRANT AVE,San Francisco,CA,94133, -122.40782268899994,37.801723288000062
0000086-02-002,1601 GRANT PARKING,1601 GRANT AVE,San Francisco,CA,94133, -122.40782268899994,37.801723288000062
0000188-01-001,ABBETT ELEC CORP,1850 BRYANT ST,San Francisco,CA,94110, -122.41036347099998,37.763747536000039
0000189-02-001,ABBEY CARPET,2900 GEARY BLVD,San Francisco,CA,94118, -122.45043291799999,37.78216791
0000189-03-001,ABBEY CARPET OF SAN FRANCISCO,2900 GEARY BLVD,San Francisco,CA,94118, -122.45043291799999,37.78216791
0000205-01-001,ABC AUTO PARTS,1650 DAVIDSON AVE,San Francisco,CA,94124, -122.39249388399998,37.746235157000058
0000216-01-001,ABC INSURANCE,1727 OAKDALE AVE,San Francisco,CA,94124, -122.39303315199999,37.736105447000057
0000216-02-001,J & E CONSTRUCTION,1727 OAKDALE AVE,San Francisco,CA,94124, -122.39303315199999,37.736105447000057
0000224-01-001,ABC WINDOW CONTRACTORS INC,811 CESAR CHAVEZ ST,San Francisco,CA,94124, -122.38578738499996,37.750341671000058
0000244-01-001,ABLE BUILDING MAINTENANCE CO,868 FOLSOM ST,San Francisco,CA,94107, -122.40273766999996,37.780843941000057
0000244-02-001,ABLE SERVICES,868 FOLSOM ST,San Francisco,CA,94107, -122.40273766999996,37.780843941000057
0000265-01-001,ACADEMY OF ART UNIVERSITY,79 NEW MONTGOMERY ST 3RD FL,San Francisco,CA,94105, -122.40086291799997,37.787814129000026
0000265-04-001,ACAD ART COLLEGE SUPPLY STORE,79 NEW MONTGOMERY ST,San Francisco,CA,94105, -122.40086291799997,37.787814129000026
0000265-06-001,ACADEMY OF ART UNIVERSITY,410 BUSH ST,San Francisco,CA,94108, -122.40444304699997,37.790737433000061
0000265-06-002,ACADEMY OF ART UNIVERSITY,2225 JERROLD AVE,San Francisco,CA,94124, -122.40063360299996,37.745135880000078
0000265-06-003,ACADEMY OF ART UNIVERSITY,180 NEW MONTGOMERY ST,San Francisco,CA,94105, -122.39930732699997,37.786426746000075
0000265-06-004,ACADEMY OF ART UNIVERSITY,540 POWELL ST,San Francisco,CA,94108, -122.40867537799994,37.789747623000039
0000265-06-005,ACADEMY OF ART UNIVERSITY,460 TOWNSEND ST,San Francisco,CA,94107, -122.39859752099994,37.774303589000056
0000265-06-006,ACADEMY OF ART UNIVERSITY,1835-49 VAN NESS AVE,San Francisco,CA,94109, -122.42004887399997,37.791538875000072
0000265-06-007,ACADEMY OF ART UNIVERSITY,620 SUTTER ST,San Francisco,CA,94102, -122.41068265299998,37.788977898000041
0000265-06-008,ACADEMY OF ART UNIVERSITY,655 SUTTER ST,San Francisco,CA,94102, -122.41107558099998,37.788883411000029
0000265-07-001,ACADEMY OF ART UNIVERSITY,1055 PINE ST,San Francisco,CA,94109, -122.41315660199996,37.790523108000059
0000265-08-001,ACADEMY OF ART UNIVERSITY,121 WISCONSIN ST,San Francisco,CA,94107, -122.39968527499997,37.765742136000028
0000265-09-001,ACADEMY OF ART UNIVERSITY,150 HAYES ST,SAN FRANCISCO,CA,94102, -122.41880278299999,37.777437796000072
0000265-10-001,ACADEMY OF ART UNIVERSITY,2300 STOCKTON ST,San Francisco,CA,94133, -122.41056627199998,37.807387905000041
0000265-11-001,ACADEMY OF ART UNIVERSITY,2801 LEAVENWORTH ST,San Francisco,CA,94133, -122.41900327999997,37.807155144000035
0000265-12-001,ACADEMY OF ART UNIVERSITY,466 TOWNSEND ST,San Francisco,CA,94107, -122.39905728099995,37.773944078000056
0000265-13-001,ACADEMY OF ART UNIVERSITY,491 POST ST,San Francisco,CA,94102, -122.40972510599994,37.788062987000046
0000265-14-001,ACADEMY OF ART UNIVERSITY,601 BRANNAN ST,San Francisco,CA,94107, -122.39938107299997,37.776067733000048
0000265-15-001,ACADEMY OF ART UNIVERSITY,625 POLK ST,San Francisco,CA,94102, -122.41909315799995,37.782444460000079
0000265-16-001,ACADEMY OF ART UNIVERSITY,631 HOWARD ST,San Francisco,CA,94105, -122.39885102299996,37.786287320000042
